14:53:56,606 | INFO  | l Console Thread | ultOsgiApplicationContextCreator | 210 - org.springframework.osgi.extender - 1.2.1 | Discovered configurations {osgibundle:/META-INF/spring/*.xml} in bundle [Fuse Kafka Producer Example (FuseCamelKafkaProducerSpringDSL)]
14:54:42,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-737, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1202, kafka.TOPIC=topic1}
14:54:42,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-737, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1202, kafka.TOPIC=topic1}
14:54:42,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-737, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1202, kafka.TOPIC=topic1}
14:54:42,036 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,036 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-739, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1203, kafka.TOPIC=topic1}
14:54:42,036 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,037 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-739, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1203, kafka.TOPIC=topic1}
14:54:42,037 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-739, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1203, kafka.TOPIC=topic1}
14:54:42,533 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,533 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-741, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1204, kafka.TOPIC=topic1}
14:54:42,533 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,533 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-741, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1204, kafka.TOPIC=topic1}
14:54:42,533 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-741, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1204, kafka.TOPIC=topic1}
14:54:42,535 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,535 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-743, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1205, kafka.TOPIC=topic1}
14:54:42,535 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,535 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-743, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1205, kafka.TOPIC=topic1}
14:54:42,535 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-743, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1205, kafka.TOPIC=topic1}
14:54:42,536 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,537 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-745, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1206, kafka.TOPIC=topic1}
14:54:42,537 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,537 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-745, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1206, kafka.TOPIC=topic1}
14:54:42,537 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-745, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1206, kafka.TOPIC=topic1}
14:54:42,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-747, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1207, kafka.TOPIC=topic1}
14:54:42,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-747, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1207, kafka.TOPIC=topic1}
14:54:42,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-747, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1207, kafka.TOPIC=topic1}
14:54:42,539 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,539 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-749, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1208, kafka.TOPIC=topic1}
14:54:42,539 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:42,539 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-749, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1208, kafka.TOPIC=topic1}
14:54:42,539 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-749, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1208, kafka.TOPIC=topic1}
14:54:43,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-751, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1209, kafka.TOPIC=topic1}
14:54:43,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,035 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-751, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1209, kafka.TOPIC=topic1}
14:54:43,036 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-751, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1209, kafka.TOPIC=topic1}
14:54:43,037 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,037 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-753, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1210, kafka.TOPIC=topic1}
14:54:43,037 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,037 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-753, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1210, kafka.TOPIC=topic1}
14:54:43,037 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-753, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1210, kafka.TOPIC=topic1}
14:54:43,038 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,038 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-755, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1211, kafka.TOPIC=topic1}
14:54:43,038 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,038 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-755, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1211, kafka.TOPIC=topic1}
14:54:43,038 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-755, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1211, kafka.TOPIC=topic1}
14:54:43,039 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,039 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-757, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1212, kafka.TOPIC=topic1}
14:54:43,039 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,039 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-757, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1212, kafka.TOPIC=topic1}
14:54:43,039 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-757, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1212, kafka.TOPIC=topic1}
14:54:43,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-759, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1213, kafka.TOPIC=topic1}
14:54:43,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-759, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1213, kafka.TOPIC=topic1}
14:54:43,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-759, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1213, kafka.TOPIC=topic1}
14:54:43,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-761, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1214, kafka.TOPIC=topic1}
14:54:43,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-761, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1214, kafka.TOPIC=topic1}
14:54:43,538 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-761, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1214, kafka.TOPIC=topic1}
14:54:43,540 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,540 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-763, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1215, kafka.TOPIC=topic1}
14:54:43,540 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,540 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-763, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1215, kafka.TOPIC=topic1}
14:54:43,540 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-763, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1215, kafka.TOPIC=topic1}
14:54:43,541 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,541 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-765, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1216, kafka.TOPIC=topic1}
14:54:43,541 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,541 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-765, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1216, kafka.TOPIC=topic1}
14:54:43,541 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-765, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1216, kafka.TOPIC=topic1}
14:54:43,542 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,542 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-767, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1217, kafka.TOPIC=topic1}
14:54:43,542 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,542 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-767, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1217, kafka.TOPIC=topic1}
14:54:43,543 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-767, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1217, kafka.TOPIC=topic1}
14:54:43,544 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,544 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-769, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1218, kafka.TOPIC=topic1}
14:54:43,544 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:43,544 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-769, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1218, kafka.TOPIC=topic1}
14:54:43,544 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-769, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1218, kafka.TOPIC=topic1}
14:54:44,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:44,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-771, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1219, kafka.TOPIC=topic1}
14:54:44,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:44,040 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-771, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1219, kafka.TOPIC=topic1}
14:54:44,041 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-771, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1219, kafka.TOPIC=topic1}
14:54:44,042 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:44,042 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-773, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1220, kafka.TOPIC=topic1}
14:54:44,042 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:44,042 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-773, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1220, kafka.TOPIC=topic1}
14:54:44,042 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-773, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1220, kafka.TOPIC=topic1}
14:54:44,043 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:44,044 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-775, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1221, kafka.TOPIC=topic1}
14:54:44,044 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:44,044 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-775, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1221, kafka.TOPIC=topic1}
14:54:44,044 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-775, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1221, kafka.TOPIC=topic1}
14:54:44,045 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:44,045 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-777, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=1222, kafka.TOPIC=topic1}
